"Superficie"	"Cabeceira"	"Vertice"	"Latitude"	"Longitude"	"Altitude_MSL"	"S_m"	"L_m"
"OLS_conica_3D_segmento_18"	"03/21"	"1"	"-17.07870363"	"-51.10912975"	"805.0"	"-3939.2"	"694.6"
"OLS_conica_3D_segmento_18"	"03/21"	"2"	"-17.08231583"	"-51.10376520"	"805.0"	"-4000.0"	"0.0"
"OLS_conica_3D_segmento_18"	"03/21"	"3"	"-17.09797374"	"-51.11314780"	"905.0"	"-6000.0"	"0.0"
"OLS_conica_3D_segmento_18"	"03/21"	"4"	"-17.09255544"	"-51.12119462"	"905.0"	"-5908.8"	"1041.9"
"OLS_conica_3D_segmento_18"	"03/21"	"5"	"-17.07870363"	"-51.10912975"	"805.0"	"-3939.2"	"694.6"
"OLS_conica_3D_segmento_19"	"03/21"	"1"	"-17.08231583"	"-51.10376520"	"805.0"	"-4000.0"	"0.0"
"OLS_conica_3D_segmento_19"	"03/21"	"2"	"-17.08497651"	"-51.09783048"	"805.0"	"-3939.2"	"-694.6"
"OLS_conica_3D_segmento_19"	"03/21"	"3"	"-17.10196476"	"-51.10424572"	"905.0"	"-5908.8"	"-1041.9"
"OLS_conica_3D_segmento_19"	"03/21"	"4"	"-17.09797374"	"-51.11314780"	"905.0"	"-6000.0"	"0.0"
"OLS_conica_3D_segmento_19"	"03/21"	"5"	"-17.08231583"	"-51.10376520"	"805.0"	"-4000.0"	"0.0"
"OLS_conica_3D_segmento_20"	"03/21"	"1"	"-17.08497651"	"-51.09783048"	"805.0"	"-3939.2"	"-694.6"
"OLS_conica_3D_segmento_20"	"03/21"	"2"	"-17.08660484"	"-51.09150592"	"805.0"	"-3758.8"	"-1368.1"
"OLS_conica_3D_segmento_20"	"03/21"	"3"	"-17.10440725"	"-51.09475887"	"905.0"	"-5638.2"	"-2052.1"
"OLS_conica_3D_segmento_20"	"03/21"	"4"	"-17.10196476"	"-51.10424572"	"905.0"	"-5908.8"	"-1041.9"
"OLS_conica_3D_segmento_20"	"03/21"	"5"	"-17.08497651"	"-51.09783048"	"805.0"	"-3939.2"	"-694.6"
"OLS_conica_3D_segmento_21"	"03/21"	"1"	"-17.08660484"	"-51.09150592"	"805.0"	"-3758.8"	"-1368.1"
"OLS_conica_3D_segmento_21"	"03/21"	"2"	"-17.08715133"	"-51.08498367"	"805.0"	"-3464.1"	"-2000.0"
"OLS_conica_3D_segmento_21"	"03/21"	"3"	"-17.10522699"	"-51.08497551"	"905.0"	"-5196.2"	"-3000.0"
"OLS_conica_3D_segmento_21"	"03/21"	"4"	"-17.10440725"	"-51.09475887"	"905.0"	"-5638.2"	"-2052.1"
"OLS_conica_3D_segmento_21"	"03/21"	"5"	"-17.08660484"	"-51.09150592"	"805.0"	"-3758.8"	"-1368.1"
"OLS_conica_3D_segmento_22"	"03/21"	"1"	"-17.08715133"	"-51.08498367"	"805.0"	"-3464.1"	"-2000.0"
"OLS_conica_3D_segmento_22"	"03/21"	"2"	"-17.08659938"	"-51.07846192"	"805.0"	"-3064.2"	"-2571.2"
"OLS_conica_3D_segmento_22"	"03/21"	"3"	"-17.10439907"	"-51.07519288"	"905.0"	"-4596.3"	"-3856.7"
"OLS_conica_3D_segmento_22"	"03/21"	"4"	"-17.10522699"	"-51.08497551"	"905.0"	"-5196.2"	"-3000.0"
"OLS_conica_3D_segmento_22"	"03/21"	"5"	"-17.08715133"	"-51.08498367"	"805.0"	"-3464.1"	"-2000.0"
"OLS_conica_3D_segmento_23"	"03/21"	"1"	"-17.08659938"	"-51.07846192"	"805.0"	"-3064.2"	"-2571.2"
"OLS_conica_3D_segmento_23"	"03/21"	"2"	"-17.08496576"	"-51.07213883"	"805.0"	"-2571.2"	"-3064.2"
"OLS_conica_3D_segmento_23"	"03/21"	"3"	"-17.10194864"	"-51.06570825"	"905.0"	"-3856.7"	"-4596.3"
"OLS_conica_3D_segmento_23"	"03/21"	"4"	"-17.10439907"	"-51.07519288"	"905.0"	"-4596.3"	"-3856.7"
"OLS_conica_3D_segmento_23"	"03/21"	"5"	"-17.08659938"	"-51.07846192"	"805.0"	"-3064.2"	"-2571.2"
"OLS_conica_3D_segmento_24"	"03/21"	"1"	"-17.08496576"	"-51.07213883"	"805.0"	"-2571.2"	"-3064.2"
"OLS_conica_3D_segmento_24"	"03/21"	"2"	"-17.08230011"	"-51.06620652"	"805.0"	"-2000.0"	"-3464.1"
"OLS_conica_3D_segmento_24"	"03/21"	"3"	"-17.09795016"	"-51.05680978"	"905.0"	"-3000.0"	"-5196.2"
"OLS_conica_3D_segmento_24"	"03/21"	"4"	"-17.10194864"	"-51.06570825"	"905.0"	"-3856.7"	"-4596.3"
"OLS_conica_3D_segmento_24"	"03/21"	"5"	"-17.08496576"	"-51.07213883"	"805.0"	"-2571.2"	"-3064.2"
"OLS_conica_3D_segmento_25"	"03/21"	"1"	"-17.08230011"	"-51.06620652"	"805.0"	"-2000.0"	"-3464.1"
"OLS_conica_3D_segmento_25"	"03/21"	"2"	"-17.07868342"	"-51.06084524"	"805.0"	"-1368.1"	"-3758.8"
"OLS_conica_3D_segmento_25"	"03/21"	"3"	"-17.09252513"	"-51.04876785"	"905.0"	"-2052.1"	"-5638.2"
"OLS_conica_3D_segmento_25"	"03/21"	"4"	"-17.09795016"	"-51.05680978"	"905.0"	"-3000.0"	"-5196.2"
"OLS_conica_3D_segmento_25"	"03/21"	"5"	"-17.08230011"	"-51.06620652"	"805.0"	"-2000.0"	"-3464.1"
"OLS_conica_3D_segmento_26"	"03/21"	"1"	"-17.07868342"	"-51.06084524"	"805.0"	"-1368.1"	"-3758.8"
"OLS_conica_3D_segmento_26"	"03/21"	"2"	"-17.07422558"	"-51.05621788"	"805.0"	"-694.6"	"-3939.2"
"OLS_conica_3D_segmento_26"	"03/21"	"3"	"-17.08583838"	"-51.04182683"	"905.0"	"-1041.9"	"-5908.8"
"OLS_conica_3D_segmento_26"	"03/21"	"4"	"-17.09252513"	"-51.04876785"	"905.0"	"-2052.1"	"-5638.2"
"OLS_conica_3D_segmento_26"	"03/21"	"5"	"-17.07868342"	"-51.06084524"	"805.0"	"-1368.1"	"-3758.8"
"OLS_conica_3D_segmento_27"	"03/21"	"1"	"-17.07422558"	"-51.05621788"	"805.0"	"-694.6"	"-3939.2"
"OLS_conica_3D_segmento_27"	"03/21"	"2"	"-17.06906205"	"-51.05246506"	"805.0"	"0.0"	"-4000.0"
"OLS_conica_3D_segmento_27"	"03/21"	"3"	"-17.07809308"	"-51.03619759"	"905.0"	"0.0"	"-6000.0"
"OLS_conica_3D_segmento_27"	"03/21"	"4"	"-17.08583838"	"-51.04182683"	"905.0"	"-1041.9"	"-5908.8"
"OLS_conica_3D_segmento_27"	"03/21"	"5"	"-17.07422558"	"-51.05621788"	"805.0"	"-694.6"	"-3939.2"
"OLS_conica_3D_segmento_28"	"03/21"	"1"	"-17.06906205"	"-51.05246506"	"805.0"	"0.0"	"-4000.0"
"OLS_conica_3D_segmento_28"	"03/21"	"2"	"-17.06334971"	"-51.04970080"	"805.0"	"694.6"	"-3939.2"
"OLS_conica_3D_segmento_28"	"03/21"	"3"	"-17.06952457"	"-51.03205120"	"905.0"	"1041.9"	"-5908.8"
"OLS_conica_3D_segmento_28"	"03/21"	"4"	"-17.07809308"	"-51.03619759"	"905.0"	"0.0"	"-6000.0"
"OLS_conica_3D_segmento_28"	"03/21"	"5"	"-17.06906205"	"-51.05246506"	"805.0"	"0.0"	"-4000.0"
"OLS_conica_3D_segmento_29"	"03/21"	"1"	"-17.06334971"	"-51.04970080"	"805.0"	"694.6"	"-3939.2"
"OLS_conica_3D_segmento_29"	"03/21"	"2"	"-17.05726213"	"-51.04800908"	"805.0"	"1368.1"	"-3758.8"
"OLS_conica_3D_segmento_29"	"03/21"	"3"	"-17.06039320"	"-51.02951363"	"905.0"	"2052.1"	"-5638.2"
"OLS_conica_3D_segmento_29"	"03/21"	"4"	"-17.06952457"	"-51.03205120"	"905.0"	"1041.9"	"-5908.8"
"OLS_conica_3D_segmento_29"	"03/21"	"5"	"-17.06334971"	"-51.04970080"	"805.0"	"694.6"	"-3939.2"
"OLS_conica_3D_segmento_30"	"03/21"	"1"	"-17.05726213"	"-51.04800908"	"805.0"	"1368.1"	"-3758.8"
"OLS_conica_3D_segmento_30"	"03/21"	"2"	"-17.05098428"	"-51.04744132"	"805.0"	"2000.0"	"-3464.1"
"OLS_conica_3D_segmento_30"	"03/21"	"3"	"-17.05097642"	"-51.02866198"	"905.0"	"3000.0"	"-5196.2"
"OLS_conica_3D_segmento_30"	"03/21"	"4"	"-17.06039320"	"-51.02951363"	"905.0"	"2052.1"	"-5638.2"
"OLS_conica_3D_segmento_30"	"03/21"	"5"	"-17.05726213"	"-51.04800908"	"805.0"	"1368.1"	"-3758.8"
"OLS_conica_3D_segmento_31"	"03/21"	"1"	"-17.05098428"	"-51.04744132"	"805.0"	"2000.0"	"-3464.1"
"OLS_conica_3D_segmento_31"	"03/21"	"2"	"-17.04470691"	"-51.04801475"	"805.0"	"2571.2"	"-3064.2"
"OLS_conica_3D_segmento_31"	"03/21"	"3"	"-17.04156037"	"-51.02952213"	"905.0"	"3856.7"	"-4596.3"
"OLS_conica_3D_segmento_31"	"03/21"	"4"	"-17.05097642"	"-51.02866198"	"905.0"	"3000.0"	"-5196.2"
"OLS_conica_3D_segmento_31"	"03/21"	"5"	"-17.05098428"	"-51.04744132"	"805.0"	"2000.0"	"-3464.1"
"OLS_conica_3D_segmento_32"	"03/21"	"1"	"-17.04470691"	"-51.04801475"	"805.0"	"2571.2"	"-3064.2"
"OLS_conica_3D_segmento_32"	"03/21"	"2"	"-17.03862075"	"-51.04971197"	"805.0"	"3064.2"	"-2571.2"
"OLS_conica_3D_segmento_32"	"03/21"	"3"	"-17.03243112"	"-51.03206795"	"905.0"	"4596.3"	"-3856.7"
"OLS_conica_3D_segmento_32"	"03/21"	"4"	"-17.04156037"	"-51.02952213"	"905.0"	"3856.7"	"-4596.3"
"OLS_conica_3D_segmento_32"	"03/21"	"5"	"-17.04470691"	"-51.04801475"	"805.0"	"2571.2"	"-3064.2"
"OLS_conica_3D_segmento_33"	"03/21"	"1"	"-17.03862075"	"-51.04971197"	"805.0"	"3064.2"	"-2571.2"
"OLS_conica_3D_segmento_33"	"03/21"	"2"	"-17.03291073"	"-51.05248139"	"805.0"	"3464.1"	"-2000.0"
"OLS_conica_3D_segmento_33"	"03/21"	"3"	"-17.02386609"	"-51.03622209"	"905.0"	"5196.2"	"-3000.0"
"OLS_conica_3D_segmento_33"	"03/21"	"4"	"-17.03243112"	"-51.03206795"	"905.0"	"4596.3"	"-3856.7"
"OLS_conica_3D_segmento_33"	"03/21"	"5"	"-17.03862075"	"-51.04971197"	"805.0"	"3064.2"	"-2571.2"
"OLS_conica_3D_segmento_34"	"03/21"	"1"	"-17.03291073"	"-51.05248139"	"805.0"	"3464.1"	"-2000.0"
"OLS_conica_3D_segmento_34"	"03/21"	"2"	"-17.02775034"	"-51.05623888"	"805.0"	"3758.8"	"-1368.1"
"OLS_conica_3D_segmento_34"	"03/21"	"3"	"-17.01612550"	"-51.04185831"	"905.0"	"5638.2"	"-2052.1"
"OLS_conica_3D_segmento_34"	"03/21"	"4"	"-17.02386609"	"-51.03622209"	"905.0"	"5196.2"	"-3000.0"
"OLS_conica_3D_segmento_34"	"03/21"	"5"	"-17.03291073"	"-51.05248139"	"805.0"	"3464.1"	"-2000.0"
"OLS_conica_3D_segmento_35"	"03/21"	"1"	"-17.02775034"	"-51.05623888"	"805.0"	"3758.8"	"-1368.1"
"OLS_conica_3D_segmento_35"	"03/21"	"2"	"-17.02329637"	"-51.06087025"	"805.0"	"3939.2"	"-694.6"
"OLS_conica_3D_segmento_35"	"03/21"	"3"	"-17.00944456"	"-51.04880538"	"905.0"	"5908.8"	"-1041.9"
"OLS_conica_3D_segmento_35"	"03/21"	"4"	"-17.01612550"	"-51.04185831"	"905.0"	"5638.2"	"-2052.1"
"OLS_conica_3D_segmento_35"	"03/21"	"5"	"-17.02775034"	"-51.05623888"	"805.0"	"3758.8"	"-1368.1"
"OLS_conica_3D_segmento_36"	"03/21"	"1"	"-17.02329637"	"-51.06087025"	"805.0"	"3939.2"	"-694.6"
"OLS_conica_3D_segmento_36"	"03/21"	"2"	"-17.01968417"	"-51.06623480"	"805.0"	"4000.0"	"0.0"
"OLS_conica_3D_segmento_36"	"03/21"	"3"	"-17.00402626"	"-51.05685220"	"905.0"	"6000.0"	"0.0"
"OLS_conica_3D_segmento_36"	"03/21"	"4"	"-17.00944456"	"-51.04880538"	"905.0"	"5908.8"	"-1041.9"
"OLS_conica_3D_segmento_36"	"03/21"	"5"	"-17.02329637"	"-51.06087025"	"805.0"	"3939.2"	"-694.6"
"silo_graos_linha_vertical_813_851MSL"	"N/A"	"1"	"-17.06990542"	"-51.09801068"	"813.0"	"-2504.3"	"155.2"
"silo_graos_linha_vertical_813_851MSL"	"N/A"	"2"	"-17.06990542"	"-51.09801068"	"851.0"	"-2504.3"	"155.2"
